estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1586,2025-07-17 13:53:09,2792,2a,2,3,4,3,4,1,3,2,2,3,5,4,3,3,5,4,5,1,5,1,4,1,1,2,5,3,2,5,4,3
601,2025-07-17 19:38:49,2272,2a,2,3,4,3,4,4,3,2,3,3,3,4,4,3,5,3,3,4,5,1,4,1,3,2,5,3,2,5,4,3
425,2025-07-17 13:53:35,2792,2a,2,3,4,3,4,1,3,2,2,3,5,4,3,3,5,4,5,1,5,1,4,1,1,2,5,3,2,5,4,3
788,2025-07-17 21:55:56,2168,2a,2,3,4,3,4,4,3,2,2,2,3,5,2,3,5,4,3,2,3,1,4,3,3,2,5,3,2,5,4,3
1047,2025-07-17 21:23:18,1544,2a,2,3,4,3,4,1,3,2,2,3,2,3,2,1,1,3,1,3,3,4,4,1,4,4,5,2,2,3,4,4
1532,2025-07-17 22:01:15,2376,2a,2,3,4,3,4,1,3,2,2,3,1,5,5,3,1,4,5,1,5,1,4,1,4,2,5,3,2,5,4,5
1262,2025-07-17 14:22:54,2584,2a,2,3,4,3,4,1,3,2,2,3,5,5,3,3,5,4,1,1,5,1,4,1,1,2,5,3,2,5,4,3
194,2025-07-18 05:48:48,2376,2a,2,3,4,3,4,3,3,2,2,3,5,5,1,2,5,4,1,1,5,1,4,1,3,3,5,3,2,5,4,3
1302,2025-07-17 18:45:15,2584,2a,2,3,4,3,4,1,3,2,2,3,1,5,2,3,5,4,5,1,1,1,4,1,5,2,5,3,2,5,4,3
561,2025-07-17 21:49:04,2168,2a,2,3,4,3,4,1,3,2,1,3,5,5,1,2,5,3,1,3,5,1,4,2,3,2,5,3,2,5,4,3
1668,2025-07-17 22:27:44,2272,2a,2,3,4,3,4,1,3,1,4,3,5,5,1,3,5,4,5,4,1,1,4,1,4,2,5,3,2,5,4,3
590,2025-07-17 20:42:12,2064,2a,2,3,4,3,4,2,3,2,1,3,3,5,3,5,3,4,5,1,4,1,4,5,3,2,5,3,2,5,4,3
1575,2025-07-17 19:54:02,2584,2a,2,3,4,3,4,1,3,2,2,3,2,5,5,3,5,4,3,1,5,1,4,1,3,2,5,3,2,5,4,3
1686,2025-07-17 20:58:10,1232,2a,2,3,4,3,4,1,3,2,2,3,4,1,3,3,5,1,2,3,1,3,2,2,2,3,4,3,3,3,3,5
1714,2025-07-17 22:06:19,2584,2a,2,3,4,3,4,1,3,2,2,3,3,5,2,5,2,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
1611,2025-07-17 19:50:52,2064,2a,2,3,4,3,4,1,3,2,2,3,2,3,3,3,5,4,1,4,3,4,4,5,4,2,5,3,2,5,4,3
360,2025-07-17 19:43:39,2168,2a,2,3,4,3,4,1,3,1,4,3,5,5,1,3,5,4,4,4,1,1,4,1,4,2,5,3,2,5,4,3
473,2025-07-17 22:51:29,1552,2a,2,3,2,3,4,3,4,2,3,3,5,4,2,2,3,3,3,4,5,4,4,1,3,3,3,3,2,2,4,5
1270,2025-07-17 21:44:29,2376,2a,2,3,4,3,4,1,3,2,1,3,2,5,1,3,5,4,4,1,5,1,4,1,4,2,5,3,2,5,4,3
1480,2025-07-17 19:11:21,1856,2a,2,3,4,3,4,4,3,2,2,3,4,2,2,2,4,3,3,3,4,1,4,2,3,1,5,3,2,5,4,3
1415,2025-07-17 18:31:16,2584,2b,2,3,4,3,4,2,3,2,2,3,5,5,1,3,1,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
1624,2025-07-17 21:01:04,2688,2b,2,3,4,3,4,1,3,2,2,3,2,5,3,3,5,4,5,1,5,1,4,1,3,2,5,3,2,5,4,3
450,2025-07-17 09:03:04,2688,2b,2,3,4,3,4,1,3,2,2,3,5,5,3,3,5,4,5,1,5,1,4,1,1,2,5,3,2,5,4,3
1551,2025-07-17 20:09:09,2272,2b,2,3,4,3,4,4,3,2,1,3,2,5,3,3,2,4,5,1,5,1,4,1,4,2,5,3,2,5,4,3
1196,2025-07-17 21:49:11,2272,2b,2,3,4,3,4,1,3,2,2,3,2,4,1,3,5,4,5,5,4,1,4,1,4,2,5,3,2,2,4,5
