estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9
1586,2025-07-18 17:36:07,2784,2a,1,4,1,1,3,1,1,3,1,3,4
601,2025-07-18 18:39:59,2253,2a,1,4,1,2,3,1,2,3,1,3,4
425,2025-07-18 17:12:15,2784,2a,1,4,1,1,3,1,1,3,1,3,4
788,2025-07-18 23:22:00,2247,2a,1,4,1,2,3,1,2,3,1,3,4
1047,2025-07-18 18:10:54,1935,2a,1,4,1,3,5,1,1,3,4,3,4
1532,2025-07-19 08:13:13,2355,2a,1,4,5,2,4,1,2,3,1,3,4
756,2025-07-18 20:53:19,746,2a,1,1,3,3,3,2,3,2,4,1,2
1262,2025-07-18 14:58:53,2574,2a,1,4,5,2,2,1,1,3,1,3,4
194,2025-07-18 20:14:33,2355,2a,1,4,1,2,4,1,5,3,2,3,4
1302,2025-07-18 17:12:41,2355,2a,1,4,1,2,4,1,3,3,4,3,4
561,2025-07-18 23:47:19,1278,2a,1,2,4,2,3,4,2,3,1,4,3
1668,2025-07-18 21:23:05,2676,2a,1,4,1,2,5,1,5,3,1,3,4
590,2025-07-18 20:02:25,2148,2a,1,4,1,1,3,1,2,3,1,3,4
1575,2025-07-18 21:00:04,2568,2a,1,4,1,5,5,1,3,3,4,3,4
1714,2025-07-18 21:12:55,2358,2a,1,4,1,2,3,1,3,3,1,3,4
360,2025-07-18 18:18:40,2676,2a,1,4,1,2,5,1,5,3,1,3,4
1270,2025-07-18 22:15:20,2571,2a,1,4,1,2,5,1,5,3,1,3,4
1480,2025-07-18 22:37:52,2460,2a,1,4,1,2,5,1,3,3,2,3,4
1415,2025-07-18 15:40:09,2361,2b,1,4,5,2,4,1,1,3,1,3,4
1624,2025-07-18 08:17:30,2145,2b,1,4,4,2,4,1,3,3,1,3,4
450,2025-07-18 20:40:27,2352,2b,1,4,4,2,3,1,3,3,3,3,4
1196,2025-07-18 11:44:32,2253,2b,1,4,1,2,2,1,5,3,1,5,4
1083,2025-07-18 15:40:12,2361,2b,1,4,5,2,4,1,1,3,1,3,4
702,2025-07-18 18:02:52,2253,2c,1,4,1,2,4,1,3,3,1,3,4
1050,2025-07-18 08:58:56,2463,2b,1,4,1,2,4,1,1,3,4,3,4
955,2025-07-18 14:32:20,2784,2b,1,4,1,1,2,1,1,3,1,3,4
1246,2025-07-18 17:24:30,1510,2b,1,4,4,1,4,1,5,3,4,3,5
132,2025-07-18 21:19:22,2466,2b,1,4,1,2,4,1,1,3,1,3,4
1242,2025-07-18 23:52:25,2253,2b,1,4,5,2,4,1,1,3,1,3,4
1481,2025-07-18 16:57:20,2676,2b,1,4,1,4,5,1,5,3,1,3,4
1447,2025-07-18 10:56:09,2463,2b,1,4,1,1,2,1,2,3,1,5,4
1017,2025-07-18 19:28:37,2040,2b,1,4,1,2,4,5,2,3,1,3,4
300,2025-07-18 08:17:31,2145,2b,1,4,4,2,4,1,3,3,1,3,4
1377,2025-07-18 14:46:19,2355,2b,1,4,5,2,4,1,5,3,1,3,4
1329,2025-07-18 17:11:05,2784,2b,1,4,1,1,3,1,1,3,1,3,4
736,2025-07-18 19:15:02,2247,2b,1,4,4,2,3,1,5,3,1,3,3
1735,2025-07-18 18:19:04,2142,2b,1,4,5,2,4,1,2,3,4,3,4
1055,2025-07-18 19:32:38,2355,2b,1,4,1,1,3,1,3,3,4,3,5
725,2025-07-18 22:28:19,2460,2c,1,4,1,2,3,1,1,3,2,3,1
1334,2025-07-18 16:33:01,2676,2c,1,4,1,3,4,1,1,3,4,3,4
483,2025-07-18 20:14:08,1823,2b,1,4,5,2,5,1,5,1,1,3,4
9,2025-07-18 22:16:08,2460,2c,1,4,1,4,4,1,3,3,5,1,1
213,2025-07-19 02:34:41,642,2c,1,3,1,4,4,1,2,4,4,1,2
886,2025-07-18 16:24:31,2250,2c,1,4,1,5,4,1,5,3,1,5,4
72,2025-07-19 10:57:45,2034,2c,1,4,1,3,3,1,3,3,1,4,3
1372,2025-07-18 11:08:27,2463,2c,1,4,5,4,4,1,2,3,1,3,4
1675,2025-07-18 16:00:43,2676,2c,1,4,1,2,4,1,1,3,1,3,4
1619,2025-07-18 11:06:07,2469,2c,1,4,1,2,4,1,1,3,1,3,4
493,2025-07-18 23:24:14,2571,2c,1,4,5,2,4,1,1,3,1,3,4
1682,2025-07-18 23:58:33,1401,2c,1,2,1,3,1,1,3,3,3,3,3
139,2025-07-18 15:38:09,2243,2c,1,4,5,2,1,1,1,4,1,3,3
1411,2025-07-18 19:23:26,2892,2c,1,4,1,2,2,1,1,3,1,3,4
1330,2025-07-18 21:07:32,2358,2c,1,4,5,2,4,1,1,3,1,3,4
688,2025-07-18 23:58:21,1186,2c,1,4,3,1,2,1,2,3,4,3,4
209,2025-07-19 01:46:35,2679,2c,1,4,5,4,2,1,1,3,5,3,4
141,2025-07-18 08:23:39,2679,2c,1,4,1,4,4,1,1,3,4,3,4
1090,2025-07-18 21:09:33,646,2c,1,4,3,3,5,3,1,3,3,1,3
822,2025-07-19 04:30:59,967,2c,1,4,1,4,5,4,2,3,1,4,3
943,2025-07-18 11:37:07,2568,2c,1,4,1,2,2,1,3,3,1,3,1
1620,2025-07-18 19:58:01,2037,2c,1,4,3,5,3,1,3,3,1,3,3
1205,2025-07-18 21:05:20,1837,2c,1,4,5,2,2,1,1,3,2,3,4
1684,2025-07-18 20:05:02,642,2c,1,4,3,3,3,3,1,1,3,3,3
1641,2025-07-18 09:35:38,1081,2c,1,4,1,2,4,2,2,3,5,3,4
692,2025-07-18 20:29:03,646,2c,1,4,3,5,3,3,1,3,3,3,1
1468,2025-07-18 21:52:16,1926,2c,1,4,2,2,4,1,3,3,3,3,4
1042,2025-07-18 20:59:52,2460,2c,1,4,2,3,4,1,1,3,2,3,4
1305,2025-07-18 22:44:45,2358,2c,1,4,1,4,5,1,5,3,2,3,5
1538,2025-07-18 08:23:06,1185,2c,1,4,2,4,4,1,2,4,4,5,3
105,2025-07-18 23:45:16,2676,2c,1,4,1,2,4,1,2,3,1,3,4
1398,2025-07-18 11:23:07,2145,2c,1,4,5,1,3,1,1,3,4,3,4
645,2025-07-18 10:01:02,2500,2d,1,4,1,1,4,1,1,3,1,3,4
1293,2025-07-18 21:54:16,2300,2d,1,4,3,2,4,1,2,3,1,3,4
1547,2025-07-18 21:40:26,2500,2d,1,4,1,2,4,1,2,3,1,3,4
1584,2025-07-18 22:24:26,2500,2d,1,4,1,2,4,1,5,3,1,3,4
1237,2025-07-18 18:15:17,2500,2d,1,4,1,2,2,1,1,3,1,3,4
580,2025-07-18 09:02:03,2700,2d,1,4,1,2,2,1,3,3,1,3,4
687,2025-07-18 23:20:00,700,2d,1,4,3,3,3,3,2,3,3,1,2
963,2025-07-18 17:13:44,2400,2d,1,4,5,2,4,5,1,3,4,3,4
622,2025-07-18 21:51:03,900,2d,1,3,2,3,4,1,1,1,1,2,2
