estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
83,2025-07-17 19:29:57,2775,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
1028,2025-07-18 06:51:28,525,2e,3,5,2,3,3,3,1,1,1,4,1,1,4,5,5,2,1,1,1,4,1,4,1,1,1,1,4,2,1,4,3,4,1,3,3,2,1,3,1,1,4
152,2025-07-17 16:45:57,2850,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1654,2025-07-17 17:20:32,1950,2e,3,3,3,5,3,1,1,1,2,3,1,2,4,2,5,1,2,5,2,2,3,2,2,1,3,2,2,3,3,2,5,4,1,2,1,3,1,2,1,2,4
507,2025-07-17 21:30:28,2250,2e,3,3,3,5,3,2,5,3,5,5,3,2,5,5,2,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,2,5,3
870,2025-07-17 16:17:31,2325,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,5,1,2,5,2,2,3,2,2,4,3,2,2,3,3,2,1,3,5,2,1,3,3,2,2,5,4
833,2025-07-17 19:07:07,2400,2e,3,2,3,4,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,2,3,2,4,1,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
58,2025-07-17 16:36:19,2775,2e,3,3,3,5,3,2,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
18,2025-07-17 19:46:09,2700,2e,3,3,3,5,2,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,4,4,3,2,2,1,3,2,3,3,2,2,1,3,1,2,4,5,3
60,2025-07-17 22:43:10,1800,2e,3,1,1,5,2,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,3,3,2,2,1,2,1,3,2,2,2,2,1,1,1,3,1,2
2,2025-07-17 19:32:01,2850,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,2,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
996,2025-07-17 19:09:30,2700,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,3,2,2,3,2,3,3,2,2,1,3,1,2,4,5,4
666,2025-07-17 22:48:27,2925,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
552,2025-07-17 20:50:35,2100,2e,3,3,3,5,3,4,1,2,2,5,2,2,4,2,3,1,2,4,2,2,3,1,1,4,3,2,2,3,3,1,3,2,2,1,1,4,1,2,4,1,2
1358,2025-07-17 21:34:36,2625,2e,3,1,2,1,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
1099,2025-07-17 21:15:50,1200,2e,3,3,1,5,3,3,1,1,2,5,1,2,4,3,2,2,3,3,3,2,3,3,5,2,1,2,2,2,5,5,3,3,4,4,4,3,5,2,3,3,5
419,2025-07-18 07:41:54,2325,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,2,3,2,2,3,3,2,3,3,1,2,3,3,5,1,3,4,5
897,2025-07-17 23:29:05,2550,2e,3,3,3,5,2,4,1,1,2,4,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
1309,2025-07-17 23:22:42,2850,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,1,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
129,2025-07-17 15:25:26,2700,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
522,2025-07-17 17:07:29,2700,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
667,2025-07-17 19:25:01,2700,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
1138,2025-07-17 16:27:27,2100,2e,3,3,3,4,3,1,1,1,2,1,3,2,4,2,5,1,2,5,2,2,1,2,1,4,3,2,2,3,3,2,3,3,4,2,1,4,1,2,2,1,4
564,2025-07-17 16:20:53,2700,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
1058,2025-07-18 07:27:41,2850,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,3,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,4
462,2025-07-17 14:55:52,2850,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
1474,2025-07-17 16:09:51,2625,2e,3,3,3,5,3,4,1,3,2,5,3,2,4,2,2,1,2,5,2,2,3,1,1,4,3,2,2,3,3,2,3,3,2,2,1,3,1,2,4,5,3
12,2025-07-17 23:38:14,2700,2e,3,3,3,5,3,4,1,1,2,5,3,2,4,2,3,1,2,5,3,3,3,2,1,4,3,2,2,3,3,2,3,3,4,2,1,3,1,2,4,5,4
1169,2025-07-17 18:00:13,2700,2e,3,3,3,5,3,4,1,2,2,5,3,2,4,2,3,1,2,5,2,2,3,2,1,4,3,2,2,3,3,2,3,3,5,2,1,3,1,2,4,5,3
