estudante,datetime,pontuacao,serie_turma,materia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
370,2025-07-16 15:48:06,2400,2i,0,3,5,2,3,3,3,4,1,1,3,2,3,3,2,2
1382,2025-07-16 21:27:25,2600,2i,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
344,2025-07-16 16:50:39,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1666,2025-07-16 19:20:15,200,2i,0,2,4,5,4,3,4,1,5,5,5,5,2,2,2,5
201,2025-07-16 13:00:24,2600,2i,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
1160,2025-07-16 23:41:48,2600,2i,0,3,5,2,3,5,3,4,1,1,3,2,3,3,2,2
321,2025-07-16 13:41:13,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1010,2025-07-16 18:51:05,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
591,2025-07-16 20:09:24,2600,2i,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
671,2025-07-16 21:33:05,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1360,2025-07-16 21:50:12,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1696,2025-07-17 14:21:44,2400,2i,0,3,5,3,3,5,3,4,1,1,3,2,3,3,2,2
1446,2025-07-16 20:48:41,2400,2i,0,3,5,2,3,3,3,4,1,1,3,2,3,3,2,2
693,2025-07-16 19:12:28,2400,2c,0,3,4,3,3,5,3,4,2,1,3,2,3,3,2,2
925,2025-07-16 21:28:12,2400,2i,0,3,3,2,3,1,3,4,2,1,3,2,3,3,2,2
598,2025-07-16 19:10:54,2600,2i,0,3,5,2,3,1,3,4,2,1,3,2,3,3,2,2
1098,2025-07-16 22:09:08,2200,2i,0,3,2,4,3,3,3,4,2,1,3,2,3,3,2,2
282,2025-07-18 08:28:33,2600,2i,0,3,5,2,3,5,3,4,2,1,3,2,4,3,2,2
1144,2025-07-16 13:41:21,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
893,2025-07-16 13:41:07,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
978,2025-07-16 19:43:00,2400,2i,0,3,5,4,3,2,3,4,2,1,3,2,3,3,2,2
142,2025-07-16 22:43:53,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1384,2025-07-16 23:18:09,2800,2i,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1259,2025-07-16 21:24:42,2200,2j,0,3,5,2,3,2,3,1,3,1,3,2,3,3,2,2
1107,2025-07-16 20:16:29,2800,2j,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1341,2025-07-16 19:23:29,2600,2j,0,3,5,2,3,5,3,4,5,1,3,2,3,3,2,2
1405,2025-07-16 20:18:54,2600,2j,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
307,2025-07-16 13:53:02,2800,2j,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
906,2025-07-16 20:41:49,1800,2j,0,3,4,2,3,5,3,4,1,2,1,2,3,2,2,2
1522,2025-07-16 20:42:18,2800,2j,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
276,2025-07-16 22:49:49,2800,2j,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
1608,2025-07-16 21:07:24,2600,2j,0,3,5,2,3,3,3,4,2,1,3,2,3,3,2,2
13,2025-07-16 21:11:07,2800,2j,0,3,5,2,3,5,3,4,2,1,3,2,3,3,2,2
786,2025-07-16 15:47:41,2400,2j,0,3,5,2,3,5,3,1,2,1,3,2,3,3,2,3
1112,2025-07-16 22:11:03,2400,2j,0,3,5,3,3,3,3,4,2,1,3,2,3,3,2,2
1709,2025-07-16 23:09:08,2600,2l,0,3,5,2,3,5,3,4,1,1,3,2,3,3,2,2
